Surname;GivenName;Gender;Age;Birthday;Centimeters;Kilograms;ZipCode;StreetAddress;City;TelephoneNumber
Dufresne    ;Julie    ;female;;3/7/1992;161;101.1;59760;15 avenue Ferdinand de Lessep;GRANDE-SYNTHE       ;206.588.651
Maheu       ;Somer    ;male  ;66;8/6/1957;185;94.5;;80 Square de la Couronne     ;PALAISEAU           ;186.219.359
Batard      ;Alita    ;female;52;;166;54.2;45400;;FLEURY-LES-AUBRAIS  ;289.939.347
Huppé       ;Paul     ;male  ;47;;181;;;68 rue Ernest Renan          ;;167.462.617
Josseaume   ;Lance    ;male  ;54;4/1/1970;179;114.4;;28 rue du Faubourg National  ;THIAIS              ;151.837.917
Gadbois     ;Adèle    ;female;;;164;90.4;54100;15 place Stanislas           ;NANCY               ;373.749.091
Rouleau     ;Arienne  ;;76;10/29/1947;152;92.8;69150;99 Cours Marechal-Joffre     ;DÉCINES-CHARPIEU    ;
Lambert     ;Marphisa ;female;;3/14/1960;164;96.4;78100;42 rue du Château            ;;130.243.515
Cartier     ;Gabriel  ;male  ;60;1/30/1964;170;110.4;59110;53 rue de l'Aigle            ;LA MADELEINE        ;314.005.384
Bérubé      ;Sabine   ;;78;9/8/1945;163;64.5;31770;74 Place de la Gare          ;COLOMIERS           ;594.277.425
Thibault    ;Théophile;male  ;28;12/8/1995;174;80.3;47000;83 rue Gontier-Patin         ;AGEN                ;589.483.504
de Chateaub ;Sumner   ;male  ;64;12/30/1959;;;6700;34 avenue du Marechal Juin   ;SAINT-LAURENT-DU-VAR;442.118.596
Fréchette   ;Lucille  ;female;29;12/3/1994;163;56.1;31500;96 quai Saint-Nicolas        ;TOULOUSE            ;
Thériault   ;Corette  ;female;41;2/13/1983;172;68.1;7000;60 rue de Penthièvre         ;PRIVAS              ;403.369.898
Bourgouin   ;Lance    ;male  ;;3/1/1994;172;93.7;;;CHAMBÉRY            ;473.942.777
Laframboise ;Prunella ;female;83;12/15/1940;;72.6;64100;46 Rue du Limas              ;BAYONNE             ;532.362.786
Covillon    ;Ansel    ;male  ;29;10/24/1994;172;65;59300;58 avenue de Provence        ;VALENCIENNES        ;383.680.562
Flamand     ;Fantina  ;female;62;;;66.4;93380;59 rue Clement Marot         ;PIERREFITTE-SUR-SEIN;
Labelle     ;Gaetan   ;male  ;79;5/25/1944;169;90.8;77380;52 Place de la Gare          ;COMBS-LA-VILLE      ;162.596.247
Bisaillon   ;Cammile  ;female;44;6/8/1979;;61.9;33100;5 cours Jean Jaures          ;BORDEAUX            ;573.725.997
Briard      ;Pensee   ;female;;;170;87.5;;53 avenue du Marechal Juin   ;SAINT-LOUIS         ;254.252.363
Boivin      ;André    ;male  ;49;;170;64;;53 Rue Frédéric Chopin       ;VERSAILLES          ;
Croquetaigne;Marlon   ;male  ;;10/26/1949;;70.1;13007;75 cours Franklin Roosevelt  ;;419.601.215
Aubin       ;Alice    ;female;65;4/8/1959;155;100.9;93400;40 rue Gouin de Beauchesne   ;SAINT-OUEN          ;110.531.785
Gagnon      ;Villette ;female;31;2/18/1993;170;102.8;95160;30 Avenue des Pr'es          ;;191.043.716
Rodrigue    ;Mason    ;male  ;21;8/27/2002;179;89.9;62700;13 rue Grande Fusterie       ;BRUAY-LA-BUISSIÈRE  ;231.752.812
Bourassa    ;Parnella ;female;27;4/23/1997;171;80.3;92130;24 route de Lyon             ;ISSY-LES-MOULINEAUX ;140.263.625
Théberge    ;D'Arcy   ;;42;7/17/1981;170;74.2;28100;33 rue Cazade                ;DREUX               ;287.260.567
Norbert     ;Lowell   ;male  ;71;9/26/1952;175;;52100;66 rue Pierre Motte          ;SAINT-DIZIER        ;351.369.255
Gaudreau    ;Avril    ;female;70;7/18/1953;152;100.5;;;MAUBEUGE            ;333.931.181
Frappier    ;Charlotte;female;73;8/28/1950;169;95.7;73100;95 Chemin des Bateliers      ;AIX-LES-BAINS       ;
Benoit      ;Merlin   ;male  ;32;;173;104;68100;77 rue des Coudriers         ;;376.226.136
Langlois    ;Odelette ;female;59;11/11/1964;;88.9;59280;29 rue de Lille              ;ARMENTIÈRES         ;336.755.819
Poisson     ;Émile    ;male  ;82;4/7/1942;170;81.2;28100;;DREUX               ;239.074.434
Doyon       ;Jérôme   ;male  ;30;10/10/1993;187;102.7;13400;40 rue de Lille              ;AUBAGNE             ;461.310.928
Pelland     ;Julien   ;male  ;21;11/23/2002;177;90.3;33700;;MÉRIGNAC            ;
Brochu      ;Mavise   ;female;;6/21/1988;169;73.7;59491;43 Place Charles de Gaulle   ;VILLENEUVE-D'ASCQ   ;311.871.978
Laux        ;Orlene   ;female;21;12/25/2002;164;;62800;97 Chemin Challet            ;LIÉVIN              ;322.412.219
Dufour      ;Alexandre;male  ;44;1/3/1980;182;98.9;78500;52 rue du Président Roosevelt;SARTROUVILLE        ;144.962.440
Cinq-Mars   ;Merci    ;female;36;2/15/1988;161;67.3;19100;34 rue Grande Fusterie       ;BRIVE-LA-GAILLARDE  ;543.937.050
Dufour      ;Sébastien;male  ;60;1/31/1964;181;111.7;75009;3 Place de la Madeleine      ;PARIS               ;147.804.762
Lapresse    ;Victor   ;male  ;79;4/17/1945;184;65.3;;91 Chemin Challet            ;LILLE               ;369.866.172
Beaulieu    ;Jacquelin;female;61;10/29/1962;163;100.1;94310;;;188.605.150
Beauchemin  ;Medoro   ;male  ;59;;;69.7;20090;;AJACCIO             ;420.222.192
Guilmette   ;Audrey   ;female;79;;163;;93420;82 place de Miremont         ;VILLEPINTE          ;162.796.380
Coudert     ;Troy     ;male  ;;4/18/1958;170;93.2;92400;26 boulevard Bryas           ;COURBEVOIE          ;169.586.611
Guimond     ;Norris   ;male  ;;10/17/1991;188;89.3;59493;10 Place Charles de Gaulle   ;VILLENEUVE-D'ASCQ   ;371.108.567
Parenteau   ;Ansel    ;;83;;170;;71000;49 avenue Voltaire           ;;375.661.476
Sicard      ;Parfait  ;male  ;83;7/28/1940;173;73.3;30000;23 boulevard de Prague       ;NÎMES               ;427.220.889
Sacré       ;Phillipa ;;49;1/28/1975;155;86.5;95300;34 rue de Penthièvre         ;PONTOISE            ;379.068.867
Audibert    ;Babette  ;female;41;8/19/1982;157;63.4;63000;75 Rue de Strasbourg         ;CLERMONT-FERRAND    ;413.248.065
Bernier     ;Maslin   ;male  ;62;5/3/1962;182;;87000;95 Chemin Challet            ;LIMOGES             ;565.396.322
Roussel     ;Gemma    ;female;53;1/16/1971;170;63.5;;60 boulevard Amiral Courbet  ;ORLÉANS             ;228.754.289
Simon       ;Annot    ;female;71;12/18/1952;151;;;23 rue Beauvau               ;MARSEILLE           ;496.865.060
Plante      ;Trinette ;female;53;10/4/1970;169;73.3;75019;78 Faubourg Saint Honoré     ;PARIS               ;176.505.215
Gareau      ;Onfroi   ;;50;2/12/1974;172;;11000;62 Rue Marie De Médicis      ;;431.239.675
Bazin       ;Archaimba;;;5/28/1939;177;;45100;90 boulevard Amiral Courbet  ;ORLÉANS             ;280.305.874
Brodeur     ;Avenall  ;male  ;81;;183;96.3;31200;68 rue Pierre De Coubertin   ;;518.840.989
Dennis      ;Aleron   ;male  ;;3/29/1943;179;62;59170;2 boulevard Bryas            ;CROIX               ;
Raymond     ;Grégoire ;male  ;43;;183;103.8;13011;;;437.213.314
Guédry      ;Christien;male  ;50;6/6/1973;168;108.4;20090;51 Chemin des Bateliers      ;;
Bolduc      ;Avenall  ;male  ;;;170;84.6;;21 Rue Hubert de Lisle       ;LUNEL               ;407.157.635
Lamour      ;Tyson    ;male  ;;12/18/1940;;;93000;75 avenue de l'Amandier      ;BOBIGNY             ;199.059.963
Rodrigue    ;Agramant ;male  ;71;7/20/1952;175;60.4;93120;83 rue des Soeurs            ;LA COURNEUVE        ;140.300.683
Marcil      ;Xarles   ;;68;;179;109.8;;60 rue Beauvau               ;MARSEILLE           ;410.084.417
Fortin      ;Xavier   ;male  ;72;5/26/1951;170;75;44200;42 rue de Raymond Poincaré   ;NANTES              ;209.868.390
Vadnais     ;Archaimba;male  ;56;9/18/1967;171;;;85 route de Lyon             ;ILLKIRCH-GRAFFENSTAD;310.984.970
Jodoin      ;Océane   ;female;60;12/31/1963;162;;62300;;LENS                ;355.176.651
Paquet      ;Ansel    ;male  ;24;9/7/1999;186;71.2;6200;16 rue des Chaligny          ;NICE                ;446.133.611
Louis       ;Gaetan   ;male  ;48;;179;87.1;33160;33 rue des Dunes             ;SAINT-MÉDARD-EN-JALL;543.531.670
Bellefeuille;Royce    ;male  ;58;10/29/1965;182;72.8;;21 rue Petite Fusterie       ;BREST               ;
Meunier     ;Benjamin ;male  ;41;11/4/1982;178;90.9;80000;84 rue de Geneve             ;AMIENS              ;321.373.530
Beaulieu    ;Céline   ;;36;;169;87.1;26000;90 avenue de Provence        ;VALENCE             ;441.609.552
Brian       ;Alexandri;female;32;7/17/1991;165;63.2;92130;34 route de Lyon             ;ISSY-LES-MOULINEAUX ;195.354.400
Lagrange    ;Astrid   ;female;71;7/19/1952;153;51.8;77200;89 rue du Fossé des Tanneurs ;TORCY               ;179.579.872
Carrière    ;Quincy   ;male  ;78;4/28/1946;174;99.8;93270;8 avenue de Bouvines         ;SEVRAN              ;129.003.788
de Brisay   ;Thiery   ;male  ;46;4/7/1978;188;79.6;;97 Avenue De Marlioz         ;ARLES               ;141.332.862
Martel      ;Moore    ;male  ;80;10/15/1943;164;92.1;83700;;SAINT-RAPHAËL       ;405.084.291
Douffet     ;Louise   ;female;44;10/7/1979;160;;78000;73 Rue Frédéric Chopin       ;VERSAILLES          ;122.918.220
Bilodeau    ;Ferrau   ;male  ;84;;164;84.9;;33 rue de Lille              ;;425.791.481
Jodoin      ;Olivie   ;female;28;8/21/1995;173;80;94140;48 rue de Geneve             ;ALFORTVILLE         ;149.590.832
Rivière     ;Alice    ;female;45;;172;67.7;75019;53 Faubourg Saint Honoré     ;PARIS               ;114.094.794
Lamour      ;Iven     ;male  ;;8/26/2004;178;69.4;2100;15 rue de la Hulotais        ;SAINT-QUENTIN       ;
Guimond     ;Voleta   ;female;;9/9/1964;;97.1;38100;8 avenue Ferdinand de Lesseps;GRENOBLE            ;445.556.537
Bousquet    ;Arridano ;male  ;35;7/27/1988;174;75.9;44100;1 place Stanislas            ;NANTES              ;209.178.657
Gareau      ;D'Arcy   ;male  ;77;;171;88.7;92310;55 avenue Jules Ferry        ;SÈVRES              ;189.935.704
Deschênes   ;Philippin;female;;5/16/2001;163;48.5;67100;4 rue Descartes              ;STRASBOURG          ;353.756.499
Labrecque   ;Rule     ;male  ;50;11/18/1973;174;;76300;;SOTTEVILLE-LÈS-ROUEN;
Patry       ;Zerbino  ;male  ;;;187;;94140;23 rue de Geneve             ;ALFORTVILLE         ;
Laramée     ;Beltane  ;male  ;;;190;85.4;13140;62 rue Bonneterie            ;MIRAMAS             ;422.097.812
Gagnon      ;Angelette;female;64;9/24/1959;152;78.2;75020;15 Faubourg Saint Honoré     ;PARIS               ;148.626.258
Dubois      ;Yseult   ;female;75;;166;;97440;;SAINT-ANDRÉ         ;275.693.780
Patry       ;Charline ;female;32;7/19/1991;171;;78150;9 boulevard Aristide Briand  ;LE CHESNAY          ;113.653.541
Boileau     ;Gilbert  ;;21;;168;84.7;;;ÉPINAL              ;312.683.748
Guérette    ;Peverell ;male  ;26;;;74.1;37300;97 route de Lyon             ;JOUÉ-LÈS-TOURS      ;265.524.962
Poissonnier ;Capucine ;female;60;2/12/1964;161;61.2;80000;55 rue de Geneve             ;AMIENS              ;313.796.056
Lapresse    ;Serge    ;male  ;46;7/18/1977;177;83.4;6400;23 Rue Marie De Médicis      ;CANNES              ;445.003.957
Ferland     ;Odo      ;male  ;71;2/22/1953;183;83.1;13700;5 Rue de la Pompe            ;MARIGNANE           ;479.969.389
Baril       ;Solaine  ;female;71;6/22/1952;152;86.6;41000;85 avenue de l'Amandier      ;BLOIS               ;281.777.506
Généreux    ;Karel    ;;76;7/11/1947;;;24000;47 rue Clement Marot         ;PÉRIGUEUX           ;591.183.129
Marcheterre ;Langley  ;male  ;28;4/3/1996;175;86.3;54500;59 avenue de Provence        ;VANDOEUVRE-LÈS-NANCY;396.024.716
Létourneau  ;Barry    ;male  ;74;10/6/1949;169;85.1;;14 boulevard de Prague       ;NÎMES               ;441.386.052
Beauchamp   ;Sumner   ;male  ;;;184;104.5;93220;;GAGNY               ;167.619.024
St-Jean     ;Donat    ;male  ;75;8/1/1948;183;104.5;77380;43 Place de la Gare          ;COMBS-LA-VILLE      ;114.632.999
Beauchemin  ;Amaury   ;male  ;;3/21/1961;174;97.7;13400;67 rue de Lille              ;AUBAGNE             ;420.591.980
Racicot     ;Jesper   ;male  ;52;9/10/1971;180;81;;16 boulevard Albin Durand    ;CHAMBÉRY            ;446.153.877
Ruest       ;Xarles   ;male  ;31;5/2/1993;;72.4;26000;;VALENCE             ;469.526.180
Morel       ;Marmion  ;male  ;;6/5/1965;179;112.6;32000;43 rue Sadi Carnot           ;AUCH                ;540.497.272
Gadbois     ;Armand   ;male  ;27;7/22/1996;178;;93370;73 Rue de Verdun             ;MONTFERMEIL         ;
Ménard      ;Geneviève;female;57;;166;;92310;93 avenue Jules Ferry        ;SÈVRES              ;144.594.449
Mainville   ;Alice    ;female;71;1/21/1953;161;85.2;74200;;THONON-LES-BAINS    ;
Perrault    ;Telford  ;male  ;72;1/4/1952;176;85.1;55000;;BAR-LE-DUC          ;391.915.369
Bernard     ;Martine  ;female;72;11/2/1951;152;52.6;94140;75 rue de Geneve             ;ALFORTVILLE         ;181.439.180
Jalbert     ;Babette  ;female;51;7/24/1972;166;51.2;80100;7 rue Gontier-Patin          ;ABBEVILLE           ;383.553.514
Marier      ;Anouk    ;female;76;;159;;38400;;SAINT-MARTIN-D'HÈRES;
Duranseau   ;Prewitt  ;male  ;63;6/4/1960;166;;68300;25 avenue du Marechal Juin   ;SAINT-LOUIS         ;320.192.225
Desaulniers ;Laurette ;female;75;8/5/1948;169;74.7;69150;;DÉCINES-CHARPIEU    ;475.280.790
Lapointe    ;Gallia   ;female;;;165;53.7;83100;;TOULON              ;483.907.297
Labonté     ;Grosvenor;male  ;45;10/11/1978;171;110.3;93400;79 rue Gouin de Beauchesne   ;SAINT-OUEN          ;170.093.534
Barjavel    ;Royale   ;female;;7/27/1948;161;;97419;87 rue de l'Aigle            ;LA POSSESSION       ;229.709.171
Migneault   ;Jérôme   ;;63;5/5/1961;165;;34000;23 Avenue des Pr'es          ;MONTPELLIER         ;452.169.945
Courtois    ;Madelene ;female;23;;161;77.1;93000;59 avenue de l'Amandier      ;BOBIGNY             ;169.049.364
Faubert     ;Jules    ;;73;6/28/1950;170;71.4;59493;42 Place Charles de Gaulle   ;VILLENEUVE-D'ASCQ   ;
Chevrette   ;Tanguy   ;male  ;62;7/3/1961;;103.6;69300;21 Rue Marie De Médicis      ;;443.648.438
Tisserand   ;Cosette  ;;50;7/14/1973;164;79.4;27000;4 rue Charles Corbeau        ;ÉVREUX              ;231.417.618
Riel        ;Dominic  ;male  ;;12/6/1959;169;73.5;30100;89 rue de Geneve             ;ALÈS                ;
Blais       ;Voleta   ;;;;;73.1;;24 boulevard de Prague       ;NIORT               ;557.203.714
Giroux      ;Fiacre   ;male  ;78;12/16/1945;175;;;55 rue Reine Elisabeth       ;MÉRIGNAC            ;564.972.124
Cormier     ;Lowell   ;;65;6/30/1958;168;83;44200;;;
Meunier     ;Vincent  ;male  ;23;12/28/2000;;66;34300;37 rue Gontier-Patin         ;;
St-Jacques  ;Thiery   ;male  ;;4/16/2002;171;98;;48 rue Ernest Renan          ;;391.951.182
Louis       ;Blanche  ;female;36;1/9/1988;161;62.1;;18 rue Lenotre               ;;236.831.101
Lemelin     ;Dalmace  ;;62;;;;92200;35 rue de Raymond Poincaré   ;NEUILLY-SUR-SEINE   ;146.589.493
Jardine     ;Magnolia ;;33;4/28/1991;;66.2;34300;37 rue Gontier-Patin         ;AGDE                ;437.719.747
Bouchard    ;Eliot    ;male  ;46;6/23/1977;186;84.2;75011;96 Place de la Madeleine     ;PARIS               ;132.684.924
Miron       ;Astrid   ;female;;12/6/1971;166;93.1;95120;36 Rue du Palais             ;;164.139.349
Soucy       ;Georges  ;male  ;65;9/12/1958;;;93390;23 Rue de Strasbourg         ;CLICHY-SOUS-BOIS    ;188.835.280
Gour        ;Huette   ;female;42;12/18/1981;172;64.4;57100;46 rue du Faubourg National  ;THIONVILLE          ;378.729.304
Ruel        ;Pierre   ;male  ;77;10/18/1946;184;76.5;28100;71 rue Cazade                ;DREUX               ;230.151.389
Jalbert     ;Bernadett;;45;3/9/1979;162;69.6;91600;60 rue du Président Roosevelt;SAVIGNY-SUR-ORGE    ;142.623.928
Primeau     ;Geoffrey ;male  ;;2/27/1965;;;59800;96 Chemin Challet            ;LILLE               ;382.658.444
Ferland     ;Curtis   ;male  ;60;;180;73;54500;36 avenue de Provence        ;;381.315.621
Côté        ;Anne     ;female;;1/19/1980;170;;35700;97 rue Lenotre               ;RENNES              ;268.871.604
Sorel       ;Paul     ;male  ;;10/12/1946;162;94.6;75017;82 rue La Boétie             ;PARIS               ;185.245.208
Beaujolie   ;Karel    ;male  ;26;2/22/1998;178;83.1;93330;37 rue de Raymond Poincaré   ;NEUILLY-SUR-MARNE   ;107.389.989
Ferland     ;Vivienne ;female;44;9/25/1979;157;78.4;6600;47 Avenue De Marlioz         ;ANTIBES             ;459.596.677
Deslauriers ;Sumner   ;male  ;;4/16/1965;173;102.6;57070;48 Rue St Ferréol            ;METZ                ;
Therriault  ;Toussaint;male  ;68;3/23/1956;176;67.2;38300;99 rue Petite Fusterie       ;BOURGOIN-JALLIEU    ;453.317.898
Bonenfant   ;Carine   ;female;85;11/4/1938;167;73.1;94310;24 boulevard Amiral Courbet  ;ORLY                ;176.621.219
Moïse       ;Auriville;male  ;63;3/15/1961;176;106.6;59500;29 rue des lieutemants Thomaz;DOUAI               ;
Legault     ;Astolpho ;male  ;25;10/20/1998;181;95.3;4100;;MANOSQUE            ;447.017.647
Beauchemin  ;Germain  ;male  ;76;6/22/1947;184;85.6;94320;95 rue du Faubourg National  ;THIAIS              ;124.229.950
Jomphe      ;Harriette;;49;11/23/1974;160;104.5;64200;32 rue Marie de Médicis      ;BIARRITZ            ;590.855.311
Pichette    ;Carine   ;female;66;;157;88;13006;43 cours Franklin Roosevelt  ;MARSEILLE           ;402.181.582
Lachapelle  ;Lotye    ;female;38;8/7/1985;159;67.4;68000;43 Place de la Gare          ;COLMAR              ;
Fecteau     ;Astrid   ;;70;9/6/1953;163;90.3;93140;37 avenue de l'Amandier      ;BONDY               ;155.726.431
Cliche      ;Vincent  ;male  ;;4/1/1964;;;94220;54 place Maurice-Charretier  ;CHARENTON-LE-PONT   ;
DuLin       ;Esperanza;female;70;9/25/1953;171;95.4;38500;97 Rue Bonnet                ;VOIRON              ;408.480.536
Dionne      ;Felicien ;male  ;29;5/12/1995;;84;75007;80 rue Nationale             ;PARIS               ;
Séguin      ;Joséphine;female;35;3/15/1989;158;103.1;13011;5 boulevard de la Liberation ;MARSEILLE           ;483.405.847
Pelletier   ;Prewitt  ;male  ;72;10/8/1951;171;67.8;53000;6 Place Napoléon             ;LAVAL               ;
Paiement    ;Pensee   ;female;51;1/7/1973;174;102.7;95110;6 rue des six frères Ruellan ;SANNOIS             ;120.756.809
Tollmache   ;Fletcher ;male  ;72;4/27/1952;164;;38000;25 avenue Ferdinand de Lessep;GRENOBLE            ;421.355.198
Plourde     ;Olympia  ;female;43;3/14/1981;;;;55 rue Nationale             ;PARIS               ;167.260.238
Coulombe    ;Gabrielle;female;34;5/3/1990;170;97;;;BERGERAC            ;537.607.574
Guérette    ;Amorette ;female;54;8/3/1969;167;52.2;37200;71 avenue Jean Portalis      ;TOURS               ;270.196.187
Echeverri   ;Chantal  ;female;45;4/6/1979;154;80.6;78130;79 rue du Paillle en queue   ;;186.563.565
Joly        ;Jeannine ;;42;;157;66.6;92230;94 rue Saint Germain         ;GENNEVILLIERS       ;117.074.265
Blanchard   ;Tyson    ;male  ;62;2/22/1962;183;67.8;;55 rue Descartes             ;SUCY-EN-BRIE        ;199.664.765
Dumoulin    ;Avril    ;female;72;;161;97.6;33150;;CENON               ;595.284.472
Mercure     ;Thomas   ;;64;;183;76.3;95870;58 rue Marie de Médicis      ;;103.095.371
Pomerleau   ;Raina    ;;54;2/23/1970;171;86.4;76140;;LE PETIT-QUEVILLY   ;223.215.738
Beaujolie   ;Aleron   ;male  ;;6/24/1957;180;106.5;93390;1 Rue de Strasbourg          ;CLICHY-SOUS-BOIS    ;121.261.813
Auberjonois ;Angelette;female;52;6/19/1971;165;96.7;94210;5 rue du Clair Bocage        ;;
Marcil      ;Amber    ;female;74;8/10/1949;153;65.8;98800;45 Rue Roussy                ;NOUMÉA              ;343.304.253
Sylvain     ;Neville  ;;39;1/28/1985;168;97.7;;;;432.406.646
Forest      ;Florus   ;male  ;48;9/6/1975;170;108.8;59430;71 rue de la Hulotais        ;SAINT-POL-SUR-MER   ;373.407.027
Sirois      ;Ignace   ;male  ;79;2/12/1945;171;76.4;50100;5 rue Ernest Renan           ;CHERBOURG           ;232.765.090
Jolicoeur   ;Dreux    ;male  ;61;10/1/1962;168;66.2;;81 Avenue des Pr'es          ;MONTLUÇON           ;414.955.102
Moquin      ;Agrican  ;male  ;74;2/2/1950;184;94.1;75012;49 Place de la Madeleine     ;PARIS               ;124.174.489
Garreau     ;Morgana  ;female;24;9/5/1999;164;70;45160;;OLIVET              ;283.890.552
Rocheleau   ;Alexis   ;male  ;;12/30/1943;;;6500;41 rue Reine Elisabeth       ;MENTON              ;494.401.450
Paquin      ;Henriette;female;47;7/28/1976;154;77;97450;62 avenue du Marechal Juin   ;SAINT-LOUIS         ;251.717.979
Truchon     ;Agrican  ;male  ;80;4/1/1944;182;;;30 Place Napoléon            ;LAON                ;384.262.957
Audibert    ;Eustache ;male  ;;;;83.5;59170;;CROIX               ;384.881.445
Allain      ;Raina    ;female;28;;165;85.9;63000;91 Rue de Strasbourg         ;CLERMONT-FERRAND    ;475.727.592
Beauchemin  ;Favor    ;;55;11/9/1968;168;66;92190;33 Rue St Ferréol            ;MEUDON              ;194.631.031
Boivin      ;Slainie  ;female;46;8/31/1977;156;73.5;98800;89 Rue Roussy                ;NOUMÉA              ;338.047.380
Chassé      ;Alacoque ;;67;3/15/1957;166;;35700;13 rue Lenotre               ;RENNES              ;295.003.734
Garnier     ;Patience ;female;61;3/9/1963;168;67.5;83300;;DRAGUIGNAN          ;
Gagné       ;Courtland;male  ;76;1/21/1948;177;76.9;57100;58 rue du Faubourg National  ;THIONVILLE          ;345.719.963
Varieur     ;Peverell ;male  ;34;5/8/1990;186;100.2;13013;97 boulevard de la Liberation;MARSEILLE           ;416.508.888
Richer      ;Marguerit;female;73;7/3/1950;171;85.4;94400;17 Rue Bonnet                ;VITRY-SUR-SEINE     ;130.663.730
Lagrange    ;Raoul    ;;70;7/14/1953;167;66.7;94170;;LE PERREUX-SUR-MARNE;180.416.820
Gauvin      ;Annot    ;female;56;10/5/1967;168;60.9;;52 Rue Hubert de Lisle       ;;
Lamare      ;Orville  ;male  ;24;6/24/1999;189;70.4;55000;78 Rue Joseph Vernet         ;BAR-LE-DUC          ;336.474.037
Houde       ;Lothair  ;;31;5/8/1993;175;103.7;;68 rue du Château            ;SAINT-JOSEPH        ;211.569.887
Bourassa    ;Merle    ;male  ;71;9/10/1952;173;67.7;35000;62 rue Lenotre               ;RENNES              ;272.263.719
Brousse     ;Avelaine ;female;49;10/24/1974;162;103.6;97470;44 rue des Nations Unies     ;SAINT-BENOÎT        ;260.143.557
Gougeon     ;Alphonse ;;47;2/27/1977;179;68.9;48000;26 rue Reine Elisabeth       ;MENDE               ;458.208.601
Gaudreau    ;Thérèse  ;;24;6/22/1999;;68.8;;23 rue Cazade                ;DUNKERQUE           ;383.462.040
Goudreau    ;Charles  ;male  ;;;176;71.3;;;THIAIS              ;
Méthot      ;Jay      ;male  ;44;5/27/1979;177;74.2;;60 rue de Groussay           ;ROCHEFORT           ;599.678.714
Boutot      ;Annot    ;female;67;3/23/1957;160;83;33110;63 boulevard Aristide Briand ;LE BOUSCAT          ;560.918.368
Jobin       ;Kari     ;female;70;10/18/1953;156;95.1;75009;5 Place de la Madeleine      ;PARIS               ;187.393.692
Boisclair   ;Jeanette ;female;75;8/2/1948;;50.1;13001;65 rue Beauvau               ;MARSEILLE           ;
Descoteaux  ;Zdenek   ;male  ;56;3/4/1968;187;89.5;13300;92 rue des six frères Ruellan;SALON-DE-PROVENCE   ;481.713.395
Martineau   ;Carole   ;female;66;12/22/1957;156;72.7;76600;70 rue Michel Ange           ;;255.433.321
Deschênes   ;Alexandri;female;;10/23/1973;165;58.3;97234;6 rue Isambard               ;;556.003.748
Gagné       ;Germaine ;female;80;7/16/1943;165;106.4;33000;64 avenue de l'Amandier      ;BORDEAUX            ;570.728.522
Généreux    ;Namo     ;male  ;41;1/18/1983;180;75.5;75015;38 rue La Boétie             ;PARIS               ;
Lépicier    ;Archard  ;male  ;73;4/30/1951;176;102.7;92270;57 avenue de l'Amandier      ;BOIS-COLOMBES       ;114.067.950
Cousteau    ;Felicien ;male  ;40;9/6/1983;173;66.2;93800;;ÉPINAY-SUR-SEINE    ;
Fréchette   ;Alacoque ;female;45;9/28/1978;169;104.1;97139;66 rue du Général Ailleret   ;LES ABYMES          ;525.455.168
Fremont     ;Ila      ;female;43;7/3/1980;;88.6;94370;81 rue Descartes             ;SUCY-EN-BRIE        ;136.416.120
David       ;Emmanuell;female;26;;;70.3;69006;78 rue Banaudon              ;LYON                ;468.804.925
Brousseau   ;Pinabel  ;male  ;56;1/16/1968;178;105.7;77000;98 rue Reine Elisabeth       ;MELUN               ;164.616.491
Larocque    ;Sumner   ;male  ;;;184;111.7;86000;94 rue de la Boétie          ;POITIERS            ;579.662.287
Beauchesne  ;Merlin   ;;64;11/21/1959;183;103.3;95220;99 rue des Lacs              ;HERBLAY             ;134.829.831
Pouchard    ;Aymon    ;male  ;32;1/9/1992;168;74.5;83200;;TOULON              ;484.949.118
Morneau     ;Amorette ;female;85;4/14/1939;163;81.9;;82 rue Beauvau               ;MARSEILLE           ;
Brunelle    ;Gifford  ;male  ;30;4/25/1994;180;;93140;13 avenue de l'Amandier      ;BONDY               ;194.319.130
Nadeau      ;Lothair  ;male  ;66;12/29/1957;166;72.8;93230;;ROMAINVILLE         ;159.655.746
Meilleur    ;Charles  ;male  ;55;2/24/1969;185;103.7;78370;26 rue de la Boétie          ;PLAISIR             ;159.786.832
Adler       ;Roslyn   ;male  ;82;2/23/1942;180;69.8;75015;13 rue La Boétie             ;PARIS               ;118.768.083
Bellefeuille;Huon     ;male  ;;1/10/1988;;111.7;;71 place Maurice-Charretier  ;CHARENTON-LE-PONT   ;
Audibert    ;Didier   ;male  ;52;2/10/1972;187;;69007;85 rue Banaudon              ;;
Godin       ;Kerman   ;;;;182;61;;12 boulevard Amiral Courbet  ;ORVAULT             ;281.740.996
Royer       ;Barry    ;male  ;45;;;102.2;;;;528.195.024
Berthelette ;Aleron   ;male  ;66;4/14/1958;;90.4;13300;68 rue des six frères Ruellan;SALON-DE-PROVENCE   ;
Blanc       ;Adrien   ;male  ;74;6/1/1949;;104.5;30100;70 rue de Geneve             ;ALÈS                ;469.070.357
Pelchat     ;Arno     ;;;2/1/2005;;;;34 rue Charles Corbeau       ;FOIX                ;
Ferland     ;Fifine   ;;64;12/12/1959;;76.6;68000;;COLMAR              ;
Chauvet     ;Jessamine;female;33;4/13/1991;;83.3;;62 rue La Boétie             ;PARIS               ;138.174.415
Collin      ;Marlon   ;male  ;46;5/23/1977;172;93.3;12100;;MILLAU              ;541.114.555
